"Timestamp","EventType","SecondsSincePrevious","PID","ProcessName","ProcessPath","ProductVersion","FileVersion","CompanyName","WindowTitle","WindowClass","ParentPID","ParentProcess","IsVisible","WindowStyle","WindowRect","OwnerInfo","CommandLine"
"2026-05-02 22:53:08.028","FOREGROUND","0","15024","NortonUI","C:\Program Files\Norton\Suite\NortonUI.exe","26.4.10932.0","26.4.10932.0","Gen Digital Inc.","Norton 360","GeniumWindow","14964","EXITED","True","Style=0x16CF0000 ExStyle=0x00000100","1532,288,2542,962","","NortonUI.exe /nogui"
"2026-05-02 22:53:08.068","FOREGROUND","0.041","15024","NortonUI","C:\Program Files\Norton\Suite\NortonUI.exe","26.4.10932.0","26.4.10932.0","Gen Digital Inc.","Norton 360","CefHeaderWindow","14964","EXITED","False","Style=0x840D0000 ExStyle=0x00000100","775,359,1785,1033","","NortonUI.exe /nogui"
"2026-05-02 22:54:46.340","FOREGROUND","98.272","15024","NortonUI","C:\Program Files\Norton\Suite\NortonUI.exe","26.4.10932.0","26.4.10932.0","Gen Digital Inc.","Norton 360","GeniumWindow","14964","EXITED","True","Style=0x16CF0000 ExStyle=0x00000100","1532,288,2542,962","","NortonUI.exe /nogui"
"2026-05-02 22:54:46.391","FOREGROUND","0.05","15024","NortonUI","C:\Program Files\Norton\Suite\NortonUI.exe","26.4.10932.0","26.4.10932.0","Gen Digital Inc.","Norton 360","CefHeaderWindow","14964","EXITED","False","Style=0x840D0000 ExStyle=0x00000100","775,359,1785,1033","","NortonUI.exe /nogui"
"2026-05-02 22:55:03.275","FOREGROUND","16.884","15024","NortonUI","C:\Program Files\Norton\Suite\NortonUI.exe","26.4.10932.0","26.4.10932.0","Gen Digital Inc.","Norton 360","GeniumWindow","14964","EXITED","True","Style=0x16CF0000 ExStyle=0x00000100","1532,288,2542,962","","NortonUI.exe /nogui"
"2026-05-02 22:55:03.307","FOREGROUND","0.032","15024","NortonUI","C:\Program Files\Norton\Suite\NortonUI.exe","26.4.10932.0","26.4.10932.0","Gen Digital Inc.","Norton 360","CefHeaderWindow","14964","EXITED","False","Style=0x840D0000 ExStyle=0x00000100","775,359,1785,1033","","NortonUI.exe /nogui"
"2026-05-02 22:58:20.334","FOREGROUND","197.027","15024","NortonUI","C:\Program Files\Norton\Suite\NortonUI.exe","26.4.10932.0","26.4.10932.0","Gen Digital Inc.","Norton 360","GeniumWindow","14964","EXITED","True","Style=0x16CF0000 ExStyle=0x00000100","1532,288,2542,962","","NortonUI.exe /nogui"
"2026-05-02 22:58:20.392","FOREGROUND","0.058","15024","NortonUI","C:\Program Files\Norton\Suite\NortonUI.exe","26.4.10932.0","26.4.10932.0","Gen Digital Inc.","Norton 360","CefHeaderWindow","14964","EXITED","False","Style=0x840D0000 ExStyle=0x00000100","775,359,1785,1033","","NortonUI.exe /nogui"
"2026-05-02 22:59:47.259","FOREGROUND","86.868","15024","NortonUI","C:\Program Files\Norton\Suite\NortonUI.exe","26.4.10932.0","26.4.10932.0","Gen Digital Inc.","Norton 360","GeniumWindow","14964","EXITED","True","Style=0x16CF0000 ExStyle=0x00000100","1532,288,2542,962","","NortonUI.exe /nogui"
"2026-05-02 22:59:47.292","FOREGROUND","0.033","15024","NortonUI","C:\Program Files\Norton\Suite\NortonUI.exe","26.4.10932.0","26.4.10932.0","Gen Digital Inc.","Norton 360","CefHeaderWindow","14964","EXITED","False","Style=0x840D0000 ExStyle=0x00000100","775,359,1785,1033","","NortonUI.exe /nogui"
